id,artifact_id,name,level,max_level,rarity,attribute,skill1_name,skill1_quality,skill1_effect,skill2_name,skill2_quality,skill2_effect,skill3_name,skill3_quality,skill3_effect,skill4_name,skill4_quality,skill4_effect
4713895,301030101,オミナス・ゴブレット,1,5,3,5,クリティカル確率,3,+15.6%,防御,3,+10.4%,奥義与ダメージ上昇,5,+150000,アビリティを一定回数使用する度に自分にダメージ上限UP(累積),1,5回
4713804,301080301,金華胸鎧,1,5,3,5,弱体成功率,3,+7.8%,攻撃力,2,+1440,アビリティダメージ上限,2,+9.6%,戦闘不能になった時、一度だけ味方全体に一定個数ランダムな強化効果,1,1個
4712115,301090101,オミナス・ホイッスル,1,5,3,4,攻撃力,2,+1440,防御,2,+9.6%,クリティカル発動時、ダメージ上限UP,2,+2.4%,攻撃開始時に敵の弱体効果の数が3つ以下の時、自分にブロック効果,1,5%
4687559,301070301,金華覆装,1,5,3,4,有利属性軽減,5,+6%,自属性攻撃力,4,+11.2%,奥義ダメージ上限UP/通常攻撃ダメージ上限-20％/アビリティダメージ上限-80％,1,+13.2%,弱体アビリティ使用時、敵に被ダメージUP(2回),1,4%
4687464,301090201,サント・ボアトムジーク,1,5,3,3,アビリティダメージ,2,+14.4%,ダブルアタック確率,2,+7.2%,通常攻撃ダメージ上限UP/アビリティダメージ上限-80％/奥義ダメージ上限-60％,1,+4.4%,キュアポーションまたはオールポーション使用時にフェイタルチェインゲージUP(重複不可),1,3%
4686634,301100201,サント・キャプション,1,5,3,2,攻撃力,2,+1440,奥義ダメージ,1,+13.2%,通常攻撃の与ダメージ上昇,1,+8800,バトル終了時にランダムな耳飾りを入手することがある(レベルに応じて入手確率UP/重複不可)　◆サブメンバーにいる場合でも発動,1,
4686605,301050101,オミナス・トーテム,1,5,3,6,攻撃力,1,+1320,HP,4,+840,確率で攻撃開始時に自分の弱体効果を1つ回復,1,20%,攻撃開始時に敵の弱体効果の数が3つ以下の時、自分にブロック効果,1,5%
4598953,301050101,オミナス・トーテム,1,5,3,1,回復性能,2,+14.4%,有利属性軽減,2,+4.8%,HPが100%の時、与ダメージUP,2,+2.4%,戦闘不能になった時、一度だけ味方全体に一定個数ランダムな強化効果,1,1個
4598913,301040101,オミナス・ホーン,1,5,3,5,弱体耐性,3,+7.8%,弱体成功率,3,+7.8%,確率で強化効果が無効化されない,1,20%,一定回数敵の攻撃行動のターゲットになった場合、一度だけ自分に自属性追撃(1回)効果,1,7回
4598898,301010301,金華羽飾,1,5,3,1,弱体耐性,1,+6.6%,有利属性軽減,3,+5.2%,ターンダメージを軽減,2,+9.6%,バトル開始時に最大HPの20%を消費するが3ターン後、自分にダメージ上限UP,1,10%
4598897,301030101,オミナス・ゴブレット,1,5,3,5,攻撃力,2,+1440,弱体成功率,1,+6.6%,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,1,+17.6%,使用間隔が10ターン以上のアビリティ使用時、自分に与ダメージUP,1,2%
4598894,301040101,オミナス・ホーン,1,5,3,1,弱体成功率,2,+7.2%,ダブルアタック確率,1,+6.6%,HPが50%以上の時、トリプルアタック確率UP,3,+7.8%,リンクアビリティを一定回数使用時に自分のリンクアビリティの再使用間隔を1ターン短縮,1,8回
4598859,301080201,サント・シャッポー,1,5,3,4,トリプルアタック確率,1,+4.4%,弱体耐性,3,+7.8%,最大HP上昇/防御力-70%,4,+11.2%,攻撃開始時、確率で自分に乱撃(6ヒット)効果(1回),1,1%
4598857,301020101,オミナス・リング,1,5,3,4,回避率,4,+5.6%,クリティカル確率,2,+14.4%,最大HP上昇/防御力-70%,1,+8.8%,ターン終了時、自分がそのターン中に消費したHPに応じて敵に無属性ダメージ,1,10倍
4598815,301020201,サント・ジャセロン,1,5,3,5,奥義ダメージ,1,+13.2%,回復性能,1,+13.2%,確率で攻撃開始時に自分の弱体効果を1つ回復,1,20%,1番目のアビリティ使用時にHPを一定割合消費するが、1番目のアビリティの使用間隔を1ターン短縮(レベルに応じて消費割合DOWN),1,30%
4598697,301050101,オミナス・トーテム,1,5,3,1,回避率,1,+4.4%,HP,4,+840,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,1,+17.6%,1回攻撃発動時、自分に一定個数ランダムな強化効果,1,1個
4598696,301080101,オミナス・フィアン,1,5,3,4,ダブルアタック確率,2,+7.2%,防御,2,+9.6%,確率で攻撃開始時に自分の弱体効果を1つ回復,1,20%,攻撃開始時、確率で自分に乱撃(6ヒット)効果(1回),1,1%
4598647,301030101,オミナス・ゴブレット,1,5,3,1,クリティカル確率,2,+14.4%,防御,1,+8.8%,奥義ダメージ上限,1,+6.6%,バトル開始時から1ターンの間被ダメージ減少,1,1000
4598646,301080201,サント・シャッポー,1,5,3,3,弱体耐性,3,+7.8%,アビリティダメージ,2,+14.4%,HPが50%以下の時、被ダメージを軽減,3,+10.4%,1番目のアビリティ使用時にHPを一定割合消費するが、1番目のアビリティの使用間隔を1ターン短縮(レベルに応じて消費割合DOWN),1,30%
4598557,301040301,金華革帯,1,5,3,1,回避率,1,+4.4%,弱体耐性,1,+6.6%,奥義ダメージ特殊上限UP,3,+5.2%,攻撃開始時、確率で自分に乱撃(6ヒット)効果(1回),1,1%
4598497,301020101,オミナス・リング,1,5,3,1,攻撃力,1,+1320,アビリティダメージ,2,+14.4%,アビリティダメージ上限UP/通常攻撃ダメージ上限-20％/奥義ダメージ上限-60％,5,+24%,アイテムドロップ率UP(重複不可)　◆サブメンバーにいる場合でも発動,1,+0.5%
4598472,301090101,オミナス・ホイッスル,1,5,3,1,クリティカル確率,2,+14.4%,奥義ダメージ,2,+14.4%,ターンダメージを軽減,3,+10.4%,バトル開始時と5ターン毎に自分にバリア効果,1,1000
4597724,301040301,金華革帯,1,5,3,6,回復性能,3,+15.6%,弱体成功率,1,+6.6%,最大HP上昇/防御力-70%,2,+9.6%,リンクアビリティを一定回数使用時に自分のリンクアビリティの再使用間隔を1ターン短縮,1,8回
4597586,301100101,オミナス・ストーン,1,5,3,5,奥義ダメージ,2,+14.4%,トリプルアタック確率,1,+4.4%,通常攻撃の与ダメージ上昇,3,+10400,使用間隔が10ターン以上のアビリティ使用時、自分に与ダメージUP,1,2%
4597584,301070101,オミナス・バンクル,1,5,3,6,クリティカル確率,3,+15.6%,防御,1,+8.8%,再生,2,480,確率でターンの進行時に経過ターンを5ターン進める(重複不可),1,0.2%
4597464,301090201,サント・ボアトムジーク,1,5,3,1,アビリティダメージ,2,+14.4%,回避率,4,+5.6%,確率で攻撃開始時に自分の弱体効果を1つ回復,1,20%,キュアポーションまたはオールポーション使用時にフェイタルチェインゲージUP(重複不可),1,3%
4582466,301050201,サント・ローブ,1,5,3,2,トリプルアタック確率,2,+4.8%,奥義ダメージ,2,+14.4%,奥義ダメージ上限UP/通常攻撃ダメージ上限-20％/アビリティダメージ上限-80％,1,+13.2%,バトル開始時から1ターンの間被ダメージ減少,1,1000
